"","Genes","L_C","L_PC","L_PI","L_HS","L_CoE","B_C","B_PC","B_PI","B_HS","B_CoE","Di_mean","Di_sd","CI_mean","CI_sd","plastic","L_N","L_NDi","B_N","B_NDi","I","na_count"
"44","CREB1",0.0876170456716988,0.0188228549589146,0.282581693101471,0.610978406267915,0.505649359413337,0.115469138161666,0.01930059239442,0.245318173132047,0.619912096311867,0.489536081339819,0.916534204340072,0.262121666678,0.908090326327863,0.283697369473265,0.32938605881979,0.689672111015596,0.118752302591183,0.852941176470588,0.27262443438914,0.00196487780916124,0
"45","CTNNB1",0.105957101227727,0.0181531553050208,0.274255959489801,0.601633783977452,0.53968303497745,0.102326470166722,0.0204939569101419,0.291692542874887,0.585487030048249,0.517620782182235,0.949219053910641,0.208997559621649,0.89837402277145,0.253321093711293,0.366979734941882,0.7141144022065,0.169564696006715,0.788521378356575,0.166762706004379,0.0103129871687253,0
"46","CYCS",0.125459844250155,0.000238880129950791,0.373560747217046,0.500740528402847,0.510495332028594,0.118102336247671,0.000238880129950791,0.282738521809756,0.598920261812622,0.534467278487246,0.929133369695219,0.245092502392991,0.998850719373067,0.0325426684729792,0.467192328005444,0,0,0.795116140559857,0.219654556283502,9.56937799043062e-05,0
"47","DERL3",0.239918573090345,0,0.00169639395114385,0.758385032958511,0.481476527719179,0.204100426521908,0,0.00174486234974796,0.794154711128344,0.531880831628135,0.995886461202948,0.0416081837165926,NA,NA,0.436475183826172,0.768706118355065,0,0.68683776783612,0,0,2
"48","EGFR",0.174880611270296,0.0163323782234957,0.216236867239733,0.592550143266476,0.492539241103413,0.12836676217765,0.0167144221585482,0.24054441260745,0.614374403056351,0.533475313661983,0.950823136021388,0.203569903342911,0.920763170047039,0.257066674876435,0.352087075980133,0.855016408813877,0.326887013595874,0.83938080495356,0.314551083591331,0.0145335208626348,0
"49","EGLN1",0.243012088489655,0.00649816044722634,0.103397200057337,0.647092551005781,0.514732222024445,0.247599025275933,0.00654594103875006,0.0866739930240336,0.659181040661283,0.555630401162186,0.889668289695356,0.224268534515716,0.970489789638759,0.165435746748711,0.27733153608653,0.23395613322502,0,0.254030562175803,0.056918547595682,0.000812347684809098,0
"50","EPAS1",0.238557095078834,0.00941232680363115,0.0524605828953655,0.699569995222169,0.496247448864573,0.211896798853321,0.00926899187768753,0.0530817009077879,0.725752508361204,0.5106316226635,0.82994521706395,0.278337905658113,0.959691358953875,0.191957170274693,0.388073863891467,0.795006361323155,0.191952926208651,0.87212543554007,0.195121951219512,0.00206743002544529,0
"51","ERBB2",0.153768988248782,0.0155727524601127,0.216585459061813,0.614072800229292,0.498127586027066,0.148371070985,0.0153816757428107,0.261106334193179,0.57514091907901,0.550026044852432,0.951061043383603,0.193348887821692,0.898343121955761,0.290324491232969,0.395864055394994,0.718900854066097,0.283079589058052,0.348324713289858,0.0772430852259951,0.00371333085777943,0
"52","ESRRG",0.177122652778441,0.00234124898466243,0.0834726933919442,0.737063404844952,0.53051176746321,0.209517893831526,0.00238902957618615,0.0804147355344259,0.707678341057862,0.496697109600292,0.770747455035911,0.306101292678933,0.989523983378436,0.0999853393730543,0.364742912964343,0.514810103579866,0,0.544295521412226,0,0.000908595311648192,0
"53","EZH2",0.174174748005542,0.0183442411503368,0.153585248172742,0.65389576267138,0.485593310599112,0.138680552238093,0.0181531553050208,0.158553480150958,0.684612812305928,0.518647946790672,0.921512458630181,0.229276083438979,0.908424875564931,0.280037090104734,0.434810428947875,0.685852311939268,0.22111801242236,0.802787034232051,0.0827022114510754,0.00303657694962043,0
